ID,Name_lang,BackgroundFile,OrderIndex,RaceMask,ClassMask
41,Fire,MageFire,1,2047,128
61,Frost,MageFrost,2,2047,128
81,Arcane,MageArcane,0,2047,128
161,Arms,WarriorArms,0,2047,1
163,Protection,WarriorProtection,2,2047,1
164,Fury,WarriorFury,1,2047,1
181,Combat,RogueCombat,1,2047,8
182,Assassination,RogueAssassination,0,2047,8
183,Subtlety,RogueSubtlety,2,2047,8
201,Discipline,PriestDiscipline,0,2047,16
202,Holy,PriestHoly,1,2047,16
203,Shadow,PriestShadow,2,2047,16
261,Elemental,ShamanElementalCombat,0,2047,64
262,Restoration,ShamanRestoration,2,2047,64
263,Enhancement,ShamanEnhancement,1,2047,64
281,"Feral Combat",DruidFeralCombat,1,2047,1024
282,Restoration,DruidRestoration,2,2047,1024
283,Balance,DruidBalance,0,2047,1024
301,Destruction,WarlockDestruction,2,2047,256
302,Affliction,WarlockCurses,0,2047,256
303,Demonology,WarlockSummoning,1,2047,256
361,"Beast Mastery",HunterBeastMastery,0,2047,4
362,Survival,HunterSurvival,2,2047,4
363,Marksmanship,HunterMarksmanship,1,2047,4
381,Retribution,PaladinCombat,2,2047,2
382,Holy,PaladinHoly,0,2047,2
383,Protection,PaladinProtection,1,2047,2
